vehicle_id,from_grid_id,to_grid_id,distance_km,travel_time_min
truck_02,500m_r014_c029,500m_r014_c028,0.499366086104013,1.3619075075564
truck_02,500m_r014_c028,500m_r014_c026,0.998732172072799,2.723815014744
truck_02,500m_r014_c026,500m_r015_c027,0.706256043419586,1.92615284568978
truck_02,500m_r015_c027,500m_r015_c026,0.49934982540146,1.3618631601858
truck_02,500m_r015_c026,500m_r015_c025,0.499349825402919,1.36186316018978
truck_02,500m_r015_c025,500m_r014_c024,0.706256043419586,1.92615284568978
truck_02,500m_r014_c024,500m_r013_c023,0.706267539548279,1.92618419876803
truck_02,500m_r013_c023,500m_r012_c022,0.706279033695008,1.92621554644093
truck_02,500m_r012_c022,500m_r011_c021,0.706290525857331,1.92624688870181
truck_02,500m_r011_c021,500m_r011_c020,0.499414849792688,1.3620404994346
truck_02,500m_r011_c020,500m_r010_c019,0.706302016038072,1.92627822555838
truck_02,500m_r010_c019,500m_r010_c018,0.499431098218016,1.36208481332186
truck_02,500m_r010_c018,DEPOT,0.789665358269867,2.15363279528145
truck_03,DEPOT,500m_r009_c017,0.789681669220638,2.15367727969265
truck_03,500m_r009_c017,500m_r008_c017,0.499438915888793,1.36210613424216
truck_03,500m_r008_c017,500m_r006_c017,0.998877831778375,2.72421226848648
truck_03,500m_r006_c017,500m_r008_c017,0.998877831778375,2.72421226848648
truck_03,500m_r008_c017,500m_r009_c017,0.499438915888793,1.36210613424216
truck_03,500m_r009_c017,500m_r010_c016,0.706313504235066,1.92630955700473
truck_03,500m_r010_c016,500m_r011_c015,0.70630201603704,1.92627822555556
truck_03,500m_r011_c015,500m_r012_c015,0.499438915889188,1.36210613424324
truck_03,500m_r012_c015,500m_r012_c016,0.499398598298268,1.36199617717709
truck_03,500m_r012_c016,500m_r013_c017,0.706279033695008,1.92621554644093
truck_03,500m_r013_c017,500m_r012_c016,0.706279033695008,1.92621554644093
truck_03,500m_r012_c016,500m_r012_c015,0.499398598298268,1.36199617717709
truck_03,500m_r012_c015,500m_r011_c014,0.706290525857331,1.92624688870181
truck_03,500m_r011_c014,500m_r010_c012,1.11675084914154,3.04568413402238
truck_03,500m_r010_c012,500m_r011_c012,0.499438915888793,1.36210613424216
truck_03,500m_r011_c012,500m_r012_c013,0.706290525857331,1.92624688870181
truck_03,500m_r012_c013,500m_r011_c012,0.706290525857331,1.92624688870181
truck_03,500m_r011_c012,500m_r010_c010,1.11675084914154,3.04568413402238
truck_03,500m_r010_c010,500m_r010_c009,0.499431098218016,1.36208481332186
truck_03,500m_r010_c009,500m_r011_c007,1.11675084914154,3.04568413402238
truck_03,500m_r011_c007,500m_r012_c005,1.11672178060985,3.04560485620869
truck_03,500m_r012_c005,500m_r011_c003,1.11672178060855,3.04560485620513
truck_03,500m_r011_c003,500m_r011_c004,0.499414849792688,1.3620404994346
truck_03,500m_r011_c004,500m_r011_c006,0.998829699454662,2.72408099851272
truck_03,500m_r011_c006,500m_r011_c007,0.499414849792688,1.3620404994346
truck_03,500m_r011_c007,500m_r010_c009,1.11675084914154,3.04568413402238
truck_03,500m_r010_c009,500m_r009_c010,0.706313504234034,1.92630955700191
truck_03,500m_r009_c010,500m_r008_c011,0.706324990447011,1.9263408830373
truck_03,500m_r008_c011,500m_r008_c012,0.49946358586246,1.36217341598853
truck_03,500m_r008_c012,500m_r008_c011,0.49946358586246,1.36217341598853
truck_03,500m_r008_c011,500m_r009_c010,0.706324990447011,1.9263408830373
truck_03,500m_r009_c010,500m_r010_c009,0.706313504234034,1.92630955700191
truck_03,500m_r010_c009,500m_r010_c008,0.499431098219476,1.36208481332584
