grid_id,shortage_bikes,unmet_bikes,served_bikes,surplus_bikes
500m_r002_c014__v01,0,0,0,20
500m_r002_c015__v01,0,0,0,20
500m_r002_c016__v01,0,0,0,14
500m_r003_c012__v01,0,0,0,19
500m_r003_c013__v01,0,0,0,19
500m_r003_c013__v02,0,0,0,19
500m_r003_c013__v03,0,0,0,18
500m_r003_c013__v04,0,0,0,18
500m_r003_c013__v05,0,0,0,18
500m_r003_c013__v06,0,0,0,18
500m_r003_c014__v01,0,0,0,10
500m_r003_c015__v01,3,3,0,0
500m_r003_c016__v01,0,0,0,17
500m_r003_c016__v02,0,0,0,16
500m_r004_c013__v01,0,0,0,19
500m_r004_c013__v02,0,0,0,19
500m_r004_c013__v03,0,0,0,19
500m_r004_c013__v04,0,0,0,18
500m_r004_c014__v01,10,0,10,0
500m_r004_c015__v01,6,6,0,0
500m_r004_c016__v01,3,3,0,0
500m_r005_c012__v01,8,8,0,0
500m_r005_c013__v01,16,0,16,0
500m_r005_c014__v01,12,0,12,0
500m_r005_c014__v02,11,0,11,0
500m_r005_c015__v01,3,3,0,0
500m_r005_c017__v01,9,9,0,0
500m_r005_c018__v01,15,0,15,0
500m_r005_c018__v02,15,0,15,0
500m_r005_c018__v03,14,0,14,0
500m_r006_c010__v01,17,0,17,0
500m_r006_c011__v01,19,0,19,0
500m_r006_c011__v02,19,0,19,0
500m_r006_c011__v03,19,0,19,0
500m_r006_c011__v04,19,0,19,0
500m_r006_c011__v05,19,0,19,0
500m_r006_c012__v01,19,0,19,0
500m_r006_c012__v02,19,0,19,0
500m_r006_c012__v03,19,0,19,0
500m_r006_c013__v01,12,0,12,0
500m_r006_c013__v02,11,11,0,0
500m_r006_c014__v01,4,4,0,0
500m_r006_c015__v01,0,0,0,6
500m_r006_c016__v01,12,0,12,0
500m_r006_c017__v01,3,3,0,0
500m_r007_c000__v01,0,0,0,5
500m_r007_c008__v01,7,7,0,0
500m_r007_c009__v01,14,0,14,0
500m_r007_c010__v01,5,5,0,0
500m_r007_c011__v01,13,0,13,0
500m_r007_c012__v01,16,0,16,0
500m_r007_c013__v01,16,0,16,0
500m_r007_c013__v02,15,0,15,0
500m_r007_c013__v03,15,0,15,0
500m_r007_c013__v04,15,0,15,0
500m_r007_c014__v01,18,0,18,0
500m_r007_c016__v01,15,0,15,0
500m_r007_c017__v01,0,0,0,14
500m_r007_c018__v01,6,0,6,0
500m_r007_c019__v01,0,0,0,5
500m_r008_c003__v01,0,0,0,10
500m_r008_c008__v01,0,0,0,8
500m_r008_c009__v01,15,0,15,0
500m_r008_c012__v01,0,0,0,17
500m_r008_c013__v01,18,0,18,0
500m_r008_c013__v02,17,0,17,0
500m_r008_c014__v01,9,0,9,0
500m_r008_c016__v01,11,0,11,0
500m_r008_c017__v01,13,0,13,0
500m_r008_c017__v02,12,0,12,0
500m_r008_c018__v01,0,0,0,19
500m_r008_c021__v01,3,3,0,0
500m_r009_c003__v01,14,0,14,0
500m_r009_c003__v02,13,0,13,0
500m_r009_c005__v01,19,0,19,0
500m_r009_c006__v01,0,0,0,5
500m_r009_c008__v01,0,0,0,14
500m_r009_c009__v01,0,0,0,4
500m_r009_c010__v01,0,0,0,16
500m_r009_c010__v02,0,0,0,15
500m_r009_c010__v03,0,0,0,15
500m_r009_c013__v01,16,0,16,0
500m_r009_c014__v01,0,0,0,5
500m_r009_c015__v01,0,0,0,17
500m_r009_c015__v02,0,0,0,17
500m_r009_c015__v03,0,0,0,16
500m_r009_c015__v04,0,0,0,16
500m_r009_c016__v01,0,0,0,7
500m_r009_c017__v01,0,0,0,15
500m_r009_c017__v02,0,0,0,14
500m_r009_c018__v01,4,4,0,0
500m_r009_c020__v01,9,9,0,0
500m_r009_c021__v01,9,9,0,0
500m_r009_c026__v01,3,3,0,0
500m_r009_c027__v01,16,0,16,0
500m_r009_c028__v01,0,0,0,5
500m_r010_c002__v01,5,5,0,0
