vehicle_id,route_time_min
truck_01,178.522386644366
truck_02,163.066626758016
truck_03,177.435833291835
truck_04,177.272777285476
truck_05,159.371671286546
truck_06,160.896483475884
truck_07,168.23240208636
truck_08,165.477479753367
truck_09,158.020274148239
truck_10,178.267921495438
truck_11,178.48504002283
truck_12,170.858719793793
truck_13,178.395899645835
truck_14,163.784664984908
truck_15,153.613280302184
truck_16,177.984943597704
truck_17,165.715541217894
truck_18,156.6719524707
truck_19,178.291206142358
truck_20,163.492679218946
