grid_id,shortage_bikes,unmet_bikes,served_bikes,surplus_bikes
500m_r002_c014__v01,7,0,7,0
500m_r002_c016__v01,7,0,7,0
500m_r003_c012__v01,4,4,0,0
500m_r003_c013__v01,16,5,11,0
500m_r003_c013__v02,15,5,10,0
500m_r003_c014__v01,4,4,0,0
500m_r003_c015__v01,0,0,0,5
500m_r003_c016__v01,15,0,15,0
500m_r003_c016__v02,15,4,11,0
500m_r004_c012__v01,3,3,0,0
500m_r004_c016__v01,0,0,0,5
500m_r004_c020__v01,6,2,4,0
500m_r005_c012__v01,0,0,0,10
500m_r005_c013__v01,12,0,12,0
500m_r005_c014__v01,0,0,0,6
500m_r005_c015__v01,6,0,6,0
500m_r005_c016__v01,0,0,0,3
500m_r005_c017__v01,0,0,0,7
500m_r005_c018__v01,0,0,0,10
500m_r005_c019__v01,3,0,3,0
500m_r006_c003__v01,7,0,7,0
500m_r006_c009__v01,0,0,0,3
500m_r006_c011__v01,0,0,0,11
500m_r006_c011__v02,0,0,0,10
500m_r006_c012__v01,0,0,0,13
500m_r006_c012__v02,0,0,0,13
500m_r006_c013__v01,0,0,0,16
500m_r006_c014__v01,0,0,0,12
500m_r006_c017__v01,0,0,0,11
500m_r006_c018__v01,0,0,0,4
500m_r006_c019__v01,0,0,0,4
500m_r007_c002__v01,0,0,0,4
500m_r007_c003__v01,0,0,0,4
500m_r007_c008__v01,0,0,0,3
500m_r007_c009__v01,0,0,0,8
500m_r007_c013__v01,0,0,0,14
500m_r007_c013__v02,0,0,0,14
500m_r007_c014__v01,0,0,0,11
500m_r007_c014__v02,0,0,0,10
500m_r007_c015__v01,5,0,5,0
500m_r007_c018__v01,0,0,0,3
500m_r008_c002__v01,8,0,8,0
500m_r008_c003__v01,4,4,0,0
500m_r008_c005__v01,0,0,0,3
500m_r008_c008__v01,4,1,3,0
500m_r008_c009__v01,0,0,0,7
500m_r008_c010__v01,9,0,9,0
500m_r008_c011__v01,0,0,0,10
500m_r008_c012__v01,17,0,17,0
500m_r008_c014__v01,0,0,0,16
500m_r008_c016__v01,0,0,0,4
500m_r008_c017__v01,0,0,0,12
500m_r008_c017__v02,0,0,0,11
500m_r008_c018__v01,9,0,9,0
500m_r008_c021__v01,0,0,0,5
500m_r008_c028__v01,6,6,0,0
500m_r009_c000__v01,3,3,0,0
500m_r009_c003__v01,0,0,0,14
500m_r009_c007__v01,0,0,0,4
500m_r009_c008__v01,4,0,4,0
500m_r009_c009__v01,0,0,0,11
500m_r009_c010__v01,12,1,11,0
500m_r009_c010__v02,11,0,11,0
500m_r009_c014__v01,0,0,0,8
500m_r009_c015__v01,15,1,14,0
500m_r009_c015__v02,14,0,14,0
500m_r009_c015__v03,14,1,13,0
500m_r009_c016__v01,16,0,16,0
500m_r009_c017__v01,8,0,8,0
500m_r009_c018__v01,7,0,7,0
500m_r009_c019__v01,0,0,0,9
500m_r009_c020__v01,0,0,0,20
500m_r009_c021__v01,0,0,0,13
500m_r009_c021__v02,0,0,0,13
500m_r009_c027__v01,0,0,0,6
500m_r009_c028__v01,20,0,20,0
500m_r009_c029__v01,0,0,0,12
500m_r010_c000__v01,5,5,0,0
500m_r010_c002__v01,7,7,0,0
500m_r010_c003__v01,11,1,10,0
500m_r010_c008__v01,0,0,0,8
500m_r010_c009__v01,10,0,10,0
500m_r010_c010__v01,20,0,20,0
500m_r010_c012__v01,3,0,3,0
500m_r010_c014__v01,17,1,16,0
500m_r010_c014__v02,16,0,16,0
500m_r010_c015__v01,17,0,17,0
500m_r010_c016__v01,0,0,0,16
500m_r010_c017__v01,5,0,5,0
500m_r010_c018__v01,7,0,7,0
500m_r010_c019__v01,0,0,0,11
500m_r010_c019__v02,0,0,0,11
500m_r010_c020__v01,0,0,0,3
500m_r010_c021__v01,12,0,12,0
500m_r010_c022__v01,5,0,5,0
500m_r010_c023__v01,6,1,5,0
500m_r010_c024__v01,0,0,0,8
500m_r010_c025__v01,0,0,0,15
500m_r010_c026__v01,6,0,6,0
500m_r010_c027__v01,0,0,0,14
500m_r010_c028__v01,0,0,0,7
500m_r010_c029__v01,0,0,0,10
500m_r010_c030__v01,3,3,0,0
500m_r011_c001__v01,12,2,10,0
500m_r011_c002__v01,7,7,0,0
500m_r011_c003__v01,0,0,0,16
500m_r011_c004__v01,4,0,4,0
500m_r011_c006__v01,3,3,0,0
500m_r011_c007__v01,0,0,0,9
500m_r011_c012__v01,0,0,0,7
500m_r011_c014__v01,8,0,8,0
500m_r011_c015__v01,11,0,11,0
500m_r011_c018__v01,0,0,0,7
500m_r011_c020__v01,0,0,0,8
500m_r011_c021__v01,20,0,20,0
500m_r011_c021__v02,20,0,20,0
500m_r011_c022__v01,15,0,15,0
500m_r011_c022__v02,14,0,14,0
500m_r011_c023__v01,4,0,4,0
500m_r011_c024__v01,0,0,0,5
500m_r011_c025__v01,4,4,0,0
500m_r011_c026__v01,14,3,11,0
500m_r011_c026__v02,14,3,11,0
500m_r011_c027__v01,14,4,10,0
500m_r011_c027__v02,13,3,10,0
500m_r011_c028__v01,0,0,0,9
500m_r012_c000__v01,0,0,0,5
500m_r012_c001__v01,0,0,0,3
500m_r012_c002__v01,6,1,5,0
500m_r012_c005__v01,10,0,10,0
500m_r012_c012__v01,5,0,5,0
500m_r012_c013__v01,0,0,0,10
500m_r012_c014__v01,4,0,4,0
500m_r012_c015__v01,11,0,11,0
500m_r012_c016__v01,4,0,4,0
500m_r012_c017__v01,7,0,7,0
500m_r012_c018__v01,0,0,0,6
500m_r012_c019__v01,0,0,0,11
500m_r012_c019__v02,0,0,0,11
500m_r012_c022__v01,19,0,19,0
500m_r012_c022__v02,19,0,19,0
500m_r012_c023__v01,10,0,10,0
500m_r012_c026__v01,0,0,0,15
500m_r012_c027__v01,0,0,0,5
500m_r012_c028__v01,12,2,10,0
500m_r012_c029__v01,0,0,0,5
500m_r013_c000__v01,5,5,0,0
500m_r013_c005__v01,0,0,0,3
500m_r013_c006__v01,0,0,0,9
500m_r013_c007__v01,5,5,0,0
500m_r013_c008__v01,4,4,0,0
500m_r013_c009__v01,0,0,0,4
500m_r013_c013__v01,0,0,0,10
500m_r013_c014__v01,4,0,4,0
500m_r013_c015__v01,0,0,0,4
500m_r013_c017__v01,0,0,0,3
500m_r013_c018__v01,0,0,0,11
500m_r013_c018__v02,0,0,0,10
500m_r013_c022__v01,6,1,5,0
500m_r013_c023__v01,0,0,0,6
500m_r013_c024__v01,3,3,0,0
500m_r013_c025__v01,0,0,0,8
500m_r013_c026__v01,0,0,0,4
500m_r013_c028__v01,0,0,0,5
500m_r013_c029__v01,18,0,18,0
500m_r014_c000__v01,0,0,0,4
500m_r014_c012__v01,4,1,3,0
500m_r014_c013__v01,0,0,0,10
500m_r014_c014__v01,11,0,11,0
500m_r014_c018__v01,12,0,12,0
500m_r014_c019__v01,5,0,5,0
500m_r014_c021__v01,6,0,6,0
500m_r014_c024__v01,0,0,0,5
500m_r014_c025__v01,14,2,12,0
500m_r014_c026__v01,5,0,5,0
500m_r014_c027__v01,0,0,0,7
500m_r014_c028__v01,0,0,0,5
500m_r014_c029__v01,0,0,0,12
500m_r014_c030__v01,0,0,0,9
500m_r015_c000__v01,10,0,10,0
500m_r015_c009__v01,4,4,0,0
500m_r015_c012__v01,9,0,9,0
500m_r015_c013__v01,4,0,4,0
500m_r015_c015__v01,0,0,0,5
500m_r015_c016__v01,0,0,0,4
500m_r015_c017__v01,0,0,0,5
500m_r015_c018__v01,5,0,5,0
500m_r015_c019__v01,9,0,9,0
500m_r015_c023__v01,3,3,0,0
500m_r015_c024__v01,0,0,0,4
500m_r015_c025__v01,0,0,0,12
500m_r015_c026__v01,14,0,14,0
500m_r015_c026__v02,14,3,11,0
500m_r015_c027__v01,0,0,0,3
500m_r015_c030__v01,7,7,0,0
500m_r016_c000__v01,3,3,0,0
500m_r016_c010__v01,0,0,0,3
500m_r016_c012__v01,4,4,0,0
500m_r016_c014__v01,0,0,0,11
500m_r016_c014__v02,0,0,0,10
500m_r016_c015__v01,0,0,0,7
500m_r016_c016__v01,3,0,3,0
500m_r016_c018__v01,0,0,0,5
500m_r016_c023__v01,5,1,4,0
500m_r016_c024__v01,0,0,0,10
500m_r016_c025__v01,10,0,10,0
500m_r016_c026__v01,13,3,10,0
500m_r016_c027__v01,0,0,0,14
500m_r016_c029__v01,6,6,0,0
500m_r016_c030__v01,0,0,0,10
500m_r017_c011__v01,0,0,0,4
500m_r017_c012__v01,0,0,0,5
500m_r017_c013__v01,0,0,0,8
500m_r017_c014__v01,3,3,0,0
500m_r017_c016__v01,7,0,7,0
500m_r017_c017__v01,5,0,5,0
500m_r017_c018__v01,0,0,0,3
500m_r017_c020__v01,7,0,7,0
500m_r017_c024__v01,0,0,0,4
500m_r017_c025__v01,6,6,0,0
500m_r017_c026__v01,0,0,0,5
500m_r017_c027__v01,0,0,0,7
500m_r017_c030__v01,9,0,9,0
500m_r018_c016__v01,5,0,5,0
500m_r018_c018__v01,0,0,0,6
500m_r018_c026__v01,0,0,0,3
500m_r018_c027__v01,0,0,0,5
500m_r018_c028__v01,0,0,0,4
500m_r018_c029__v01,18,2,16,0
500m_r019_c026__v01,0,0,0,3
500m_r019_c028__v01,3,3,0,0
