vehicle_id,route_time_min
truck_01,176.246301720289
truck_02,173.803388534253
truck_03,162.95163720447
truck_04,174.640388942198
truck_05,165.960491685046
truck_06,151.390525757263
truck_07,165.003684492964
truck_08,176.617357549034
truck_09,170.257922846354
truck_10,165.7177126767
truck_11,152.107071600873
truck_12,152.966995951209
truck_13,170.937310214643
truck_14,136.160128636198
truck_15,158.908134927377
truck_16,166.238616139087
truck_17,176.271796698711
truck_18,173.739636741157
truck_19,178.45342615097
truck_20,142.121361382789
