vehicle_id,route_time_min
truck_01,131.458232176135
truck_02,172.540380317017
truck_03,162.260029897567
truck_04,170.632967454444
truck_05,163.208601318289
truck_06,151.882044402628
truck_07,146.102942456675
truck_08,167.531855315068
truck_09,175.218340663744
truck_10,167.913591770091
truck_11,155.72526041569
truck_12,131.462765913389
truck_13,162.090125516392
truck_14,174.917674706102
truck_15,173.188934390384
truck_16,160.63250000512
truck_17,169.320506461033
truck_18,161.890779810089
truck_19,166.496367589129
truck_20,134.831097589192
