vehicle_id,route_time_min
truck_01,167.935014966178
truck_02,154.107413248427
truck_03,145.03390549827
truck_04,125.034418700889
truck_05,171.049231711069
truck_06,157.94673435865
truck_07,130.397285368438
truck_08,149.863682176009
truck_09,162.51074138244
truck_10,132.763158684102
truck_11,115.63298485731
truck_12,144.847194691863
truck_13,144.524597805845
truck_14,172.816886059919
truck_15,169.1303751151
truck_16,168.273423831795
truck_17,167.673851071539
truck_18,160.024563442344
truck_19,123.981292660486
truck_20,163.485022218987
