grid_id,shortage_bikes,unmet_bikes,served_bikes,surplus_bikes
1000m_r001_c006__v01,18,1,17,0
1000m_r001_c006__v02,17,6,11,0
1000m_r001_c007__v01,8,8,0,0
1000m_r001_c008__v01,19,4,15,0
1000m_r001_c008__v02,18,7,11,0
1000m_r002_c006__v01,3,3,0,0
1000m_r002_c008__v01,0,0,0,15
1000m_r002_c009__v01,0,0,0,7
1000m_r002_c010__v01,6,6,0,0
1000m_r003_c004__v01,0,0,0,14
1000m_r003_c005__v01,0,0,0,17
1000m_r003_c006__v01,0,0,0,18
1000m_r003_c006__v02,0,0,0,18
1000m_r003_c006__v03,0,0,0,18
1000m_r003_c006__v04,0,0,0,17
1000m_r003_c007__v01,0,0,0,13
1000m_r003_c007__v02,0,0,0,13
1000m_r003_c008__v01,0,0,0,11
1000m_r003_c009__v01,0,0,0,11
1000m_r004_c000__v01,3,3,0,0
1000m_r004_c001__v01,0,0,0,3
1000m_r004_c003__v01,0,0,0,4
1000m_r004_c004__v01,0,0,0,10
1000m_r004_c005__v01,11,0,11,0
1000m_r004_c005__v02,11,0,11,0
1000m_r004_c006__v01,15,1,14,0
1000m_r004_c007__v01,20,2,18,0
1000m_r004_c008__v01,0,0,0,3
1000m_r004_c009__v01,8,1,7,0
1000m_r004_c010__v01,0,0,0,17
1000m_r004_c010__v02,0,0,0,17
1000m_r004_c010__v03,0,0,0,17
1000m_r004_c013__v01,0,0,0,6
1000m_r004_c014__v01,14,8,6,0
1000m_r005_c000__v01,17,7,10,0
1000m_r005_c001__v01,9,6,3,0
1000m_r005_c002__v01,4,0,4,0
1000m_r005_c003__v01,0,0,0,7
1000m_r005_c005__v01,20,2,18,0
1000m_r005_c006__v01,0,0,0,4
1000m_r005_c007__v01,18,0,18,0
1000m_r005_c007__v02,17,0,17,0
1000m_r005_c007__v03,17,0,17,0
1000m_r005_c007__v04,17,0,17,0
1000m_r005_c008__v01,0,0,0,10
1000m_r005_c009__v01,0,0,0,11
1000m_r005_c009__v02,0,0,0,11
1000m_r005_c010__v01,14,1,13,0
1000m_r005_c010__v02,14,1,13,0
1000m_r005_c010__v03,13,0,13,0
1000m_r005_c011__v01,15,2,13,0
1000m_r005_c011__v02,15,0,15,0
1000m_r005_c011__v03,14,2,12,0
1000m_r005_c012__v01,0,0,0,12
1000m_r005_c012__v02,0,0,0,12
1000m_r005_c013__v01,16,4,12,0
1000m_r005_c013__v02,16,4,12,0
1000m_r005_c013__v03,15,3,12,0
1000m_r005_c014__v01,0,0,0,13
1000m_r005_c014__v02,0,0,0,12
1000m_r005_c015__v01,4,4,0,0
1000m_r006_c001__v01,5,5,0,0
1000m_r006_c002__v01,6,1,5,0
1000m_r006_c003__v01,0,0,0,5
1000m_r006_c006__v01,0,0,0,15
1000m_r006_c007__v01,15,0,15,0
1000m_r006_c008__v01,10,0,10,0
1000m_r006_c009__v01,0,0,0,16
1000m_r006_c009__v02,0,0,0,16
1000m_r006_c009__v03,0,0,0,16
1000m_r006_c010__v01,5,0,5,0
1000m_r006_c011__v01,16,0,16,0
1000m_r006_c011__v02,16,0,16,0
1000m_r006_c011__v03,16,3,13,0
1000m_r006_c012__v01,0,0,0,5
1000m_r006_c013__v01,0,0,0,12
1000m_r006_c013__v02,0,0,0,12
1000m_r006_c014__v01,20,0,20,0
1000m_r007_c000__v01,6,6,0,0
1000m_r007_c004__v01,4,0,4,0
1000m_r007_c005__v01,4,0,4,0
1000m_r007_c006__v01,7,0,7,0
1000m_r007_c007__v01,6,0,6,0
1000m_r007_c008__v01,0,0,0,10
1000m_r007_c009__v01,16,0,16,0
1000m_r007_c009__v02,15,2,13,0
1000m_r007_c010__v01,9,0,9,0
1000m_r007_c011__v01,6,0,6,0
1000m_r007_c012__v01,0,0,0,7
1000m_r007_c013__v01,12,2,10,0
1000m_r007_c013__v02,11,4,7,0
1000m_r007_c014__v01,0,0,0,20
1000m_r008_c000__v01,3,3,0,0
1000m_r008_c005__v01,0,0,0,6
1000m_r008_c006__v01,0,0,0,9
1000m_r008_c007__v01,0,0,0,13
1000m_r008_c007__v02,0,0,0,13
1000m_r008_c008__v01,17,0,17,0
1000m_r008_c009__v01,0,0,0,8
1000m_r008_c010__v01,9,1,8,0
1000m_r008_c013__v01,0,0,0,13
1000m_r008_c014__v01,6,6,0,0
1000m_r009_c006__v01,0,0,0,4
1000m_r009_c008__v01,9,0,9,0
1000m_r009_c009__v01,0,0,0,6
1000m_r009_c013__v01,0,0,0,9
1000m_r009_c014__v01,18,18,0,0
