grid_id,shortage_bikes,unmet_bikes,served_bikes,surplus_bikes
1000m_r001_c006__v01,0,0,0,19
1000m_r001_c006__v02,0,0,0,19
1000m_r001_c006__v03,0,0,0,19
1000m_r001_c006__v04,0,0,0,18
1000m_r001_c006__v05,0,0,0,18
1000m_r001_c006__v06,0,0,0,18
1000m_r001_c006__v07,0,0,0,18
1000m_r001_c007__v01,0,0,0,16
1000m_r001_c007__v02,0,0,0,16
1000m_r001_c007__v03,0,0,0,15
1000m_r001_c008__v01,0,0,0,16
1000m_r001_c008__v02,0,0,0,16
1000m_r001_c008__v03,0,0,0,16
1000m_r002_c006__v01,0,0,0,18
1000m_r002_c006__v02,0,0,0,17
1000m_r002_c006__v03,0,0,0,17
1000m_r002_c007__v01,14,0,14,0
1000m_r002_c007__v02,14,0,14,0
1000m_r002_c007__v03,14,0,14,0
1000m_r002_c008__v01,10,0,10,0
1000m_r002_c009__v01,15,0,15,0
1000m_r002_c009__v02,15,0,15,0
1000m_r002_c009__v03,14,0,14,0
1000m_r003_c000__v01,0,0,0,6
1000m_r003_c004__v01,11,0,11,0
1000m_r003_c004__v02,10,0,10,0
1000m_r003_c005__v01,19,0,19,0
1000m_r003_c005__v02,19,0,19,0
1000m_r003_c005__v03,19,0,19,0
1000m_r003_c005__v04,19,0,19,0
1000m_r003_c005__v05,18,0,18,0
1000m_r003_c005__v06,18,0,18,0
1000m_r003_c005__v07,18,0,18,0
1000m_r003_c006__v01,20,20,0,0
1000m_r003_c006__v02,20,20,0,0
1000m_r003_c006__v03,20,20,0,0
1000m_r003_c006__v04,20,20,0,0
1000m_r003_c006__v05,20,20,0,0
1000m_r003_c006__v06,19,19,0,0
1000m_r003_c006__v07,19,19,0,0
1000m_r003_c006__v08,19,19,0,0
1000m_r003_c007__v01,15,0,15,0
1000m_r003_c008__v01,16,0,16,0
1000m_r003_c009__v01,5,0,5,0
1000m_r004_c000__v01,0,0,0,3
1000m_r004_c001__v01,17,0,17,0
1000m_r004_c002__v01,11,0,11,0
1000m_r004_c002__v02,11,0,11,0
1000m_r004_c003__v01,0,0,0,4
