vehicle_id,route_time_min
truck_01,173.390320801775
truck_02,174.741159901814
truck_03,175.368360471378
truck_04,171.292208943801
truck_05,172.50932155452
truck_06,139.291005997209
truck_07,168.304449318082
truck_08,165.702933065426
truck_09,165.044100300604
truck_10,173.375567874741
truck_11,173.92575236392
truck_12,170.194362071735
truck_13,130.055403731338
truck_14,148.51876351352
truck_15,142.894845126049
truck_16,175.525610277461
truck_17,174.561883436229
truck_18,171.088188702694
truck_19,134.472042848981
truck_20,175.76807160089
