grid_id,row,col,center_lng,center_lat,grid_size_m
200m_r004_c030,4,30,114.0393268480254,22.49808480057492,200
200m_r005_c037,5,37,114.05294284593286,22.4998814229249,200
200m_r005_c039,5,39,114.05683313104929,22.4998814229249,200
200m_r005_c042,5,42,114.06266855872391,22.4998814229249,200
200m_r006_c035,6,35,114.04905256081645,22.501678045274883,200
200m_r006_c036,6,36,114.05099770337465,22.501678045274883,200
200m_r006_c037,6,37,114.05294284593286,22.501678045274883,200
200m_r006_c038,6,38,114.05488798849107,22.501678045274883,200
200m_r006_c039,6,39,114.05683313104929,22.501678045274883,200
200m_r006_c040,6,40,114.05877827360749,22.501678045274883,200
200m_r007_c032,7,32,114.04321713314182,22.503474667624864,200
200m_r007_c033,7,33,114.04516227570002,22.503474667624864,200
200m_r007_c034,7,34,114.04710741825824,22.503474667624864,200
200m_r007_c035,7,35,114.04905256081645,22.503474667624864,200
200m_r007_c036,7,36,114.05099770337465,22.503474667624864,200
200m_r007_c037,7,37,114.05294284593286,22.503474667624864,200
200m_r007_c038,7,38,114.05488798849107,22.503474667624864,200
200m_r007_c039,7,39,114.05683313104929,22.503474667624864,200
200m_r007_c040,7,40,114.05877827360749,22.503474667624864,200
200m_r007_c041,7,41,114.0607234161657,22.503474667624864,200
200m_r007_c048,7,48,114.07433941407317,22.503474667624864,200
200m_r008_c031,8,31,114.04127199058361,22.505271289974846,200
200m_r008_c032,8,32,114.04321713314182,22.505271289974846,200
200m_r008_c033,8,33,114.04516227570002,22.505271289974846,200
200m_r008_c034,8,34,114.04710741825824,22.505271289974846,200
200m_r008_c035,8,35,114.04905256081645,22.505271289974846,200
200m_r008_c036,8,36,114.05099770337465,22.505271289974846,200
200m_r008_c037,8,37,114.05294284593286,22.505271289974846,200
200m_r008_c038,8,38,114.05488798849107,22.505271289974846,200
200m_r008_c039,8,39,114.05683313104929,22.505271289974846,200
200m_r008_c040,8,40,114.05877827360749,22.505271289974846,200
200m_r008_c041,8,41,114.0607234161657,22.505271289974846,200
200m_r008_c042,8,42,114.06266855872391,22.505271289974846,200
200m_r009_c030,9,30,114.0393268480254,22.50706791232483,200
200m_r009_c031,9,31,114.04127199058361,22.50706791232483,200
200m_r009_c032,9,32,114.04321713314182,22.50706791232483,200
200m_r009_c033,9,33,114.04516227570002,22.50706791232483,200
200m_r009_c034,9,34,114.04710741825824,22.50706791232483,200
200m_r009_c035,9,35,114.04905256081645,22.50706791232483,200
200m_r009_c036,9,36,114.05099770337465,22.50706791232483,200
200m_r009_c037,9,37,114.05294284593286,22.50706791232483,200
200m_r009_c038,9,38,114.05488798849107,22.50706791232483,200
200m_r009_c039,9,39,114.05683313104929,22.50706791232483,200
200m_r009_c040,9,40,114.05877827360749,22.50706791232483,200
200m_r009_c041,9,41,114.0607234161657,22.50706791232483,200
200m_r009_c042,9,42,114.06266855872391,22.50706791232483,200
200m_r009_c044,9,44,114.06655884384033,22.50706791232483,200
200m_r010_c030,10,30,114.0393268480254,22.50886453467481,200
200m_r010_c031,10,31,114.04127199058361,22.50886453467481,200
200m_r010_c032,10,32,114.04321713314182,22.50886453467481,200
200m_r010_c033,10,33,114.04516227570002,22.50886453467481,200
200m_r010_c034,10,34,114.04710741825824,22.50886453467481,200
200m_r010_c035,10,35,114.04905256081645,22.50886453467481,200
200m_r010_c036,10,36,114.05099770337465,22.50886453467481,200
200m_r010_c037,10,37,114.05294284593286,22.50886453467481,200
200m_r010_c038,10,38,114.05488798849107,22.50886453467481,200
200m_r010_c039,10,39,114.05683313104929,22.50886453467481,200
200m_r010_c040,10,40,114.05877827360749,22.50886453467481,200
200m_r010_c041,10,41,114.0607234161657,22.50886453467481,200
200m_r010_c042,10,42,114.06266855872391,22.50886453467481,200
200m_r010_c050,10,50,114.07822969918959,22.50886453467481,200
200m_r011_c031,11,31,114.04127199058361,22.510661157024792,200
200m_r011_c032,11,32,114.04321713314182,22.510661157024792,200
200m_r011_c033,11,33,114.04516227570002,22.510661157024792,200
200m_r011_c034,11,34,114.04710741825824,22.510661157024792,200
200m_r011_c035,11,35,114.04905256081645,22.510661157024792,200
200m_r011_c036,11,36,114.05099770337465,22.510661157024792,200
200m_r011_c037,11,37,114.05294284593286,22.510661157024792,200
200m_r011_c038,11,38,114.05488798849107,22.510661157024792,200
200m_r011_c039,11,39,114.05683313104929,22.510661157024792,200
200m_r011_c040,11,40,114.05877827360749,22.510661157024792,200
